,price_usd_per_m2,property_type,place_name,surface_total_in_m2,surface_covered_in_m2,ambientes,parrilla
23362,2892.3235294117653,apartment,Villa Crespo,34.0,31.0,3.0,0
23363,2754.142857142857,apartment,Villa Crespo,42.0,38.0,3.0,0
23364,2972.2285714285717,apartment,Villa Crespo,35.0,32.0,3.0,0
23365,2796.095238095238,apartment,Villa Crespo,42.0,38.0,3.0,0
23366,3017.485714285715,apartment,Villa Crespo,35.0,32.0,3.0,0
23367,2838.666666666666,apartment,Villa Crespo,42.0,38.0,3.0,0
23368,1769.2307692307693,apartment,Saavedra,65.0,65.0,3.0,0
23369,3063.4285714285716,apartment,Villa Crespo,35.0,32.0,3.0,0
23370,1769.2307692307693,apartment,Nuñez,65.0,65.0,3.0,0
23371,2885.285714285714,apartment,Villa Crespo,42.0,38.0,3.0,0
23372,3124.6857142857148,apartment,Villa Crespo,35.0,32.0,3.0,0
23373,2939.523809523809,apartment,Villa Crespo,42.0,38.0,3.0,0
23374,2453.674418604651,apartment,Caballito,43.0,36.0,1.0,0
23375,1776.3157894736844,apartment,Villa Devoto,38.0,35.0,1.0,0
23376,2477.5227272727275,apartment,Caballito,44.0,37.0,1.0,0
23377,3148.7352941176478,apartment,Villa Crespo,34.0,31.0,3.0,0
23378,2322.222222222222,apartment,Nuñez,90.0,45.0,2.0,0
23379,2453.674418604651,apartment,Caballito,43.0,36.0,1.0,0
23380,2998.309523809524,apartment,Villa Crespo,42.0,38.0,3.0,0
23381,2477.5227272727275,apartment,Caballito,44.0,37.0,1.0,0
23382,3229.939393939394,apartment,Villa Crespo,33.0,30.0,3.0,0
23384,3228.7727272727275,apartment,Caballito,44.0,37.0,1.0,0
23385,3066.775,apartment,Villa Crespo,40.0,36.0,3.0,0
23386,2617.612903225807,apartment,Caballito,31.0,26.0,1.0,0
23387,3917.05069124424,apartment,Palermo,217.0,174.0,5.0,0
23388,1808.672268907563,apartment,Villa Crespo,119.0,44.0,3.0,0
23389,3314.3150684931506,apartment,Caballito,73.0,64.0,3.0,0
23390,3284.9117647058824,apartment,Villa Crespo,34.0,29.0,3.0,0
23391,2107.1428571428573,apartment,Nuñez,56.0,38.0,2.0,0
23392,2777.777777777778,apartment,Villa Crespo,27.0,27.0,1.0,0
23393,3314.3150684931506,apartment,Caballito,73.0,64.0,3.0,0
23394,3243.3243243243237,apartment,Villa Crespo,37.0,35.0,3.0,0
23395,1659.090909090909,apartment,Villa Urquiza,44.0,34.0,1.0,0
23396,3314.3150684931506,apartment,Caballito,73.0,64.0,3.0,0
23398,3220.522388059701,apartment,Villa Crespo,67.0,56.0,3.0,0
23402,2591.30612244898,apartment,Villa Crespo,49.0,27.0,3.0,0
23406,2870.3823529411766,apartment,Villa Crespo,34.0,29.0,3.0,0
23407,3263.421052631579,apartment,Caballito,57.0,51.0,2.0,0
23409,3286.5438596491217,apartment,Caballito,57.0,51.0,2.0,0
23411,2442.8611111111113,apartment,Villa Urquiza,36.0,36.0,1.0,1
23412,3254.7671232876714,apartment,Caballito,73.0,65.0,3.0,0
23415,2477.5227272727275,apartment,Caballito,44.0,37.0,1.0,0
23416,2403.846153846154,apartment,Almagro,52.0,50.0,3.0,0
23421,2228.5714285714284,apartment,Villa Pueyrredón,35.0,35.0,1.0,0
23423,2903.5151515151515,apartment,Villa Crespo,33.0,30.0,3.0,0
23425,2927.628571428572,apartment,Villa Crespo,35.0,32.0,3.0,0
23428,2915.342857142857,apartment,Villa Crespo,35.0,32.0,3.0,0
23429,2884.527777777778,apartment,Villa Crespo,36.0,32.0,3.0,0
23433,2750.243902439024,apartment,Villa Crespo,41.0,37.0,3.0,0
23435,2757.3809523809527,apartment,Villa Crespo,42.0,38.0,3.0,0
23436,2578.0666666666666,apartment,Villa Crespo,60.0,49.0,2.0,0
23438,2759.75,apartment,Villa Crespo,40.0,36.0,3.0,0
23439,2578.0666666666666,apartment,Villa Crespo,60.0,49.0,2.0,0
23442,2756.054054054054,apartment,Villa Crespo,37.0,35.0,3.0,0
23444,2636.3636363636365,apartment,Belgrano,55.0,55.0,3.0,0
23445,2914.0882352941176,apartment,Villa Crespo,34.0,29.0,3.0,0
23446,2522.5,apartment,Villa Crespo,44.0,36.0,1.0,0
23447,2947.7272727272725,apartment,Villa Crespo,33.0,30.0,3.0,0
23448,2568.952380952381,apartment,Villa Crespo,42.0,36.0,1.0,0
23451,2058.8235294117653,apartment,Liniers,170.0,165.0,4.0,0
23452,2590.0,apartment,Villa Crespo,42.0,36.0,1.0,0
23454,2622.511627906977,apartment,Villa Crespo,43.0,37.0,1.0,0
23455,3365.384615384615,apartment,Palermo,104.0,73.0,3.0,0
23458,2650.430555555556,apartment,Villa Crespo,72.0,64.0,3.0,0
23463,3333.333333333333,apartment,Villa Crespo,36.0,28.0,1.0,0
23474,2813.953488372093,apartment,Palermo,43.0,39.0,2.0,1
23479,2692.3076923076924,apartment,Palermo Hollywood,52.0,47.0,2.0,0
23483,3000.0,apartment,Palermo Hollywood,41.0,37.0,2.0,0
23484,2975.0,apartment,Belgrano,400.0,350.0,6.0,0
23488,2609.756097560976,apartment,Palermo Hollywood,41.0,37.0,2.0,0
23492,2738.095238095238,apartment,Palermo Hollywood,42.0,38.0,2.0,0
23493,2436.3636363636365,apartment,Nuñez,55.0,55.0,3.0,0
23494,2697.674418604651,apartment,Palermo Hollywood,43.0,38.0,2.0,0
23496,2729.7297297297296,apartment,Palermo Hollywood,37.0,34.0,2.0,0
23498,2800.0,apartment,Palermo,61.0,53.0,2.0,0
23499,2658.5365853658536,apartment,Palermo Hollywood,41.0,37.0,2.0,0
23501,2800.0,apartment,Palermo,64.0,56.0,2.0,0
23502,2809.523809523809,apartment,Palermo Hollywood,42.0,38.0,2.0,0
23505,2850.0,apartment,Palermo,61.0,53.0,2.0,0
23506,2744.1860465116283,apartment,Palermo Hollywood,43.0,38.0,2.0,0
23507,2850.0,apartment,Palermo,64.0,56.0,2.0,0
23508,2783.783783783784,apartment,Palermo Hollywood,37.0,34.0,2.0,0
23511,2731.7073170731705,apartment,Palermo Hollywood,41.0,37.0,2.0,0
23513,2950.0,apartment,Palermo,61.0,53.0,2.0,0
23515,2857.142857142857,apartment,Palermo Hollywood,42.0,38.0,2.0,0
23516,2950.0,apartment,Palermo,64.0,56.0,2.0,0
23519,3050.0,apartment,Palermo,64.0,56.0,2.0,0
23520,2790.697674418605,apartment,Palermo Hollywood,43.0,38.0,2.0,0
23523,3150.0,apartment,Palermo,64.0,56.0,2.0,0
23524,2837.837837837838,apartment,Palermo Hollywood,37.0,34.0,2.0,0
23527,2780.487804878049,apartment,Palermo Hollywood,41.0,37.0,2.0,0
23528,3200.0,apartment,Palermo,61.0,53.0,2.0,0
23530,2926.829268292683,apartment,Palermo,41.0,38.0,1.0,1
23537,2950.0,apartment,Palermo,117.0,100.0,3.0,0
23544,2803.0303030303025,apartment,Palermo,66.0,60.0,3.0,0
23547,2777.777777777778,apartment,Caballito,45.0,43.0,2.0,0
23552,2571.428571428572,apartment,Caballito,35.0,33.0,1.0,0
23566,3344.155844155844,apartment,Palermo,154.0,125.0,4.0,0
23572,5000.0,apartment,Palermo,78.0,62.0,2.0,0
23573,2992.606060606061,apartment,Villa Crespo,33.0,30.0,3.0,0
23576,1623.3766233766235,apartment,Colegiales,77.0,64.0,3.0,0
23601,2769.230769230769,apartment,Belgrano,65.0,60.0,3.0,0
23605,3026.470588235294,apartment,Villa Crespo,34.0,31.0,3.0,0
23630,2857.142857142857,apartment,Belgrano,182.0,182.0,5.0,0
23643,3098.939393939394,apartment,Villa Crespo,33.0,30.0,3.0,0
23648,3815.7894736842095,apartment,Palermo,38.0,34.0,1.0,0
23659,2925.0,apartment,Villa Crespo,80.0,73.0,1.0,1
23663,3486.472727272728,apartment,Belgrano,55.0,50.0,4.0,0
23669,3124.8823529411766,apartment,Villa Crespo,34.0,29.0,3.0,0
23672,3160.939393939394,apartment,Villa Crespo,33.0,30.0,3.0,0
23674,3187.2,apartment,Villa Crespo,35.0,32.0,3.0,0
23675,2374.7916666666665,apartment,Villa del Parque,72.0,60.0,4.0,0
23677,3173.8285714285716,apartment,Villa Crespo,35.0,32.0,3.0,0
23679,3140.277777777778,apartment,Villa Crespo,36.0,32.0,3.0,0
23680,3414.42,apartment,Villa Crespo,50.0,42.0,4.0,0
