,price_usd_per_m2,property_type,place_name,surface_total_in_m2,surface_covered_in_m2,ambientes,parrilla
1,1309.090909090909,apartment,Mataderos,55.0,55.0,2.0,0
3,3066.666666666666,apartment,Belgrano,45.0,40.0,1.0,0
4,3000.0,apartment,Belgrano,65.0,60.0,2.0,0
5,2234.0,apartment,Palermo Soho,50.0,30.0,3.0,0
6,3521.4285714285716,apartment,Palermo Soho,42.0,31.0,1.0,0
8,3365.384615384615,apartment,Palermo,104.0,96.0,3.0,0
9,2292.372881355933,apartment,Palermo,118.0,73.0,4.0,0
10,1744.186046511628,apartment,Flores,43.0,43.0,2.0,0
11,1812.5,apartment,Boedo,80.0,77.0,4.0,0
12,2181.818181818182,apartment,Las Cañitas,220.0,130.0,3.0,1
14,1702.127659574468,apartment,Balvanera,141.0,124.0,5.0,0
15,2200.0,apartment,Caballito,50.0,50.0,3.0,0
16,1705.0,apartment,Caballito,100.0,46.0,2.0,0
17,2721.1111111111113,apartment,Caballito,81.0,75.0,3.0,0
18,2750.3703703703704,apartment,Caballito,81.0,75.0,3.0,0
19,1542.857142857143,apartment,Caballito,70.0,67.0,3.0,0
20,3460.0,apartment,Nuñez,50.0,50.0,2.0,0
23,2198.0,apartment,Almagro,50.0,40.0,2.0,0
31,1938.7755102040808,apartment,Recoleta,196.0,196.0,7.0,0
34,1757.142857142857,apartment,Villa Crespo,42.0,39.0,1.0,0
35,1636.3636363636365,apartment,Villa Crespo,44.0,41.0,1.0,0
36,3455.8823529411766,apartment,Las Cañitas,68.0,48.0,2.0,0
37,4210.526315789473,apartment,Belgrano,57.0,54.0,2.0,1
40,3437.5,apartment,Belgrano,160.0,150.0,4.0,0
42,1878.7878787878788,apartment,Villa Crespo,33.0,31.0,1.0,0
43,3548.3870967741937,apartment,Belgrano,310.0,300.0,5.0,0
44,3447.753623188406,apartment,Belgrano,69.0,53.0,1.0,0
45,3447.753623188406,apartment,Belgrano,69.0,53.0,1.0,0
46,1523.0769230769226,apartment,Flores,65.0,62.0,3.0,0
48,3469.696969696969,apartment,Nuñez,66.0,59.0,2.0,1
49,3000.0,apartment,Nuñez,45.0,39.0,1.0,1
50,3246.0732984293195,apartment,Recoleta,191.0,181.0,5.0,0
51,2806.060606060606,apartment,Belgrano,33.0,33.0,1.0,0
52,2816.4556962025317,apartment,Caballito,158.0,154.0,5.0,1
54,3776.9230769230767,apartment,Palermo,39.0,35.0,1.0,1
55,5045.871559633028,apartment,Puerto Madero,109.0,99.0,4.0,0
56,987.7777777777776,apartment,Constitución,90.0,82.0,3.0,0
57,6035.353535353535,apartment,Puerto Madero,198.0,185.0,4.0,1
58,2656.25,apartment,Belgrano,128.0,120.0,4.0,0
60,3636.363636363637,apartment,Recoleta,33.0,33.0,1.0,0
61,2514.285714285714,apartment,Palermo,175.0,175.0,4.0,0
62,1888.888888888889,apartment,Colegiales,126.0,120.0,4.0,0
63,2106.299212598425,apartment,Villa Urquiza,127.0,123.0,4.0,0
64,2541.6666666666665,apartment,Villa Crespo,120.0,114.0,4.0,0
65,2648.648648648649,apartment,Barrio Norte,37.0,37.0,3.0,0
66,2872.340425531915,apartment,Palermo Hollywood,47.0,41.0,1.0,0
67,2500.0,apartment,Saavedra,38.0,32.0,1.0,0
68,2549.2957746478874,apartment,Saavedra,71.0,67.0,1.0,0
74,2283.54037037037,apartment,Paternal,27.0,27.0,1.0,1
75,2312.765925925926,apartment,Paternal,27.0,27.0,1.0,1
76,2342.428148148148,apartment,Paternal,27.0,27.0,1.0,1
77,2372.09,apartment,Paternal,27.0,27.0,1.0,1
78,2326.6225,apartment,Paternal,32.0,32.0,1.0,1
79,2356.6184375,apartment,Paternal,32.0,32.0,1.0,1
80,2386.614375,apartment,Paternal,32.0,32.0,1.0,1
81,2296.408148148148,apartment,Paternal,27.0,27.0,1.0,1
82,2326.5066666666667,apartment,Paternal,27.0,27.0,1.0,1
83,2356.604814814815,apartment,Paternal,27.0,27.0,1.0,1
84,2386.484814814815,apartment,Paternal,27.0,27.0,1.0,1
85,2416.582962962963,apartment,Paternal,27.0,27.0,1.0,1
86,2261.472121212121,apartment,Paternal,33.0,33.0,1.0,1
87,2291.2730303030303,apartment,Paternal,33.0,33.0,1.0,1
88,2320.8954545454544,apartment,Paternal,33.0,33.0,1.0,1
89,2356.565714285714,apartment,Paternal,28.0,28.0,1.0,1
90,2386.6407142857142,apartment,Paternal,28.0,28.0,1.0,1
91,2416.715714285714,apartment,Paternal,28.0,28.0,1.0,1
94,2303.5714285714284,apartment,Caballito,28.0,25.0,1.0,0
95,6481.481481481482,apartment,Puerto Madero,54.0,50.0,2.0,0
98,2166.6666666666665,apartment,Caballito,42.0,37.0,1.0,0
99,2461.538461538461,apartment,Coghlan,39.0,34.0,1.0,0
100,2557.142857142857,apartment,Palermo,70.0,61.0,3.0,0
101,2727.2727272727275,apartment,Almagro,77.0,72.0,4.0,0
102,1775.0,apartment,Caballito,200.0,178.0,5.0,0
103,1775.0,apartment,Parque Centenario,200.0,178.0,5.0,0
104,6481.481481481482,apartment,Puerto Madero,54.0,50.0,2.0,0
105,6111.1111111111095,apartment,Puerto Madero,54.0,50.0,2.0,0
106,2642.829268292683,apartment,San Telmo,41.0,36.0,4.0,0
107,2142.8571428571427,apartment,Almagro,56.0,47.0,3.0,0
108,2000.0,apartment,Monserrat,60.0,60.0,2.0,0
109,2936.170212765957,apartment,Recoleta,235.0,235.0,5.0,0
112,3466.666666666666,apartment,Belgrano,150.0,130.0,3.0,1
113,2700.0,apartment,Recoleta,140.0,136.0,4.0,0
122,1686.7469879518073,apartment,Boca,83.0,74.0,3.0,0
134,2339.285714285714,apartment,Caballito,28.0,25.0,1.0,0
137,1606.060606060606,apartment,Boca,33.0,31.0,1.0,0
138,2057.692307692308,apartment,Coghlan,104.0,80.0,4.0,0
139,2924.528301886793,apartment,Palermo,106.0,100.0,3.0,0
140,3883.720930232558,apartment,Recoleta,43.0,43.0,2.0,0
141,1709.090909090909,apartment,San Telmo,55.0,55.0,3.0,0
143,1709.090909090909,apartment,Boca,55.0,55.0,3.0,0
144,1709.090909090909,apartment,Barracas,55.0,55.0,3.0,0
145,3750.0,apartment,Recoleta,28.0,28.0,1.0,0
146,3513.5135135135133,apartment,Recoleta,37.0,37.0,1.0,0
147,3852.4590163934417,apartment,Recoleta,61.0,61.0,3.0,0
148,3604.6511627906975,apartment,Palermo,43.0,37.0,1.0,0
149,3266.666666666666,apartment,Palermo,75.0,51.0,1.0,0
152,2065.5263157894738,apartment,Almagro,38.0,32.0,1.0,1
154,3161.2903225806454,apartment,Colegiales,31.0,31.0,2.0,0
162,3490.566037735849,apartment,Colegiales,53.0,49.0,2.0,1
163,2000.0,apartment,Flores,50.0,45.0,2.0,0
164,2100.0,apartment,Flores,50.0,45.0,2.0,0
165,2788.4615384615386,apartment,Barrio Norte,104.0,102.0,3.0,0
166,1666.666666666667,apartment,Flores,51.0,51.0,3.0,0
177,1267.5438596491229,apartment,Balvanera,228.0,167.0,4.0,1
178,1267.5438596491229,apartment,Balvanera,228.0,167.0,5.0,1
179,1267.5438596491229,apartment,Boedo,228.0,167.0,4.0,1
180,1267.5438596491229,apartment,Boedo,228.0,167.0,5.0,1
181,1267.5438596491229,apartment,Boedo,228.0,167.0,6.0,1
182,1267.5438596491229,apartment,Almagro,228.0,167.0,6.0,1
183,1267.5438596491229,apartment,Almagro,228.0,167.0,5.0,1
184,1267.5438596491229,apartment,Almagro,228.0,167.0,4.0,1
185,2225.3521126760565,apartment,Caballito,71.0,62.0,3.0,0
186,1924.342105263158,apartment,Belgrano,304.0,185.0,4.0,1
187,1924.342105263158,apartment,Belgrano,304.0,185.0,6.0,1
188,2924.528301886793,apartment,Palermo,159.0,140.0,5.0,0
189,5138.88888888889,apartment,Palermo,36.0,33.0,2.0,0
190,2090.909090909091,apartment,Coghlan,66.0,56.0,2.0,0
196,2032.2580645161293,apartment,Flores,31.0,31.0,1.0,0
198,1903.8461538461536,apartment,Abasto,52.0,52.0,3.0,0
200,2448.9795918367345,apartment,Nuñez,147.0,143.0,4.0,0
201,2448.9795918367345,apartment,Belgrano,147.0,143.0,4.0,0
202,3131.7494600431964,apartment,Belgrano,463.0,286.0,5.0,0
205,1901.9607843137253,apartment,Monte Castro,51.0,45.0,2.0,0
206,1725.0,apartment,Floresta,40.0,40.0,2.0,0
207,2142.8571428571427,apartment,Monte Castro,63.0,53.0,3.0,0
208,3111.1111111111113,apartment,Retiro,45.0,45.0,1.0,0
210,4487.5,apartment,Recoleta,40.0,4.0,1.0,0
224,1352.9411764705885,apartment,Flores,68.0,35.0,1.0,0
244,1345.4545454545455,apartment,Flores,55.0,45.0,2.0,0
247,1882.3529411764707,apartment,Flores,51.0,46.0,2.0,0
248,1816.793893129771,apartment,Flores,131.0,122.0,5.0,0
251,3941.176470588234,apartment,Palermo,34.0,30.0,1.0,0
253,2812.5,apartment,Recoleta,160.0,140.0,5.0,0
254,1288.2096069868996,apartment,Barracas,229.0,105.0,1.0,0
255,2147.4675324675327,apartment,Barracas,77.0,66.0,1.0,0
277,1225.68093385214,apartment,Barracas,257.0,100.0,1.0,0
278,4980.0796812748995,apartment,Barrio Norte,251.0,238.0,7.0,0
282,2483.985765124555,apartment,Barrio Norte,281.0,241.0,5.0,0
283,2885.9060402684563,apartment,Barrio Norte,149.0,139.0,4.0,0
284,2962.962962962963,apartment,Recoleta,108.0,100.0,3.0,0
285,2038.8349514563104,apartment,Barrio Norte,309.0,309.0,5.0,0
286,1904.7619047619046,apartment,Barracas,84.0,80.0,1.0,0
287,1924.821052631579,apartment,Barracas,95.0,87.0,1.0,0
288,1969.298245614035,apartment,Barracas,114.0,106.0,1.0,0
289,3418.333333333333,apartment,Belgrano,90.0,84.0,3.0,0
290,4277.933333333333,apartment,Belgrano,90.0,84.0,3.0,0
291,4199.25,apartment,Belgrano,140.0,120.0,4.0,0
292,4604.254545454545,apartment,Belgrano,110.0,100.0,3.0,0
293,2375.0,apartment,Recoleta,40.0,25.0,1.0,0
295,2488.034090909091,apartment,Barracas,88.0,81.0,1.0,0
296,3176.470588235294,apartment,Recoleta,170.0,162.0,4.0,0
297,3059.7014925373132,apartment,Barrio Norte,134.0,124.0,4.0,0
298,2384.105960264901,apartment,Recoleta,151.0,151.0,6.0,0
299,4125.0,apartment,Recoleta,160.0,152.0,4.0,0
300,2388.663967611336,apartment,Villa Urquiza,247.0,116.0,4.0,0
301,3369.230769230769,apartment,Belgrano,130.0,121.0,4.0,0
302,2766.9902912621365,apartment,Retiro,206.0,206.0,4.0,0
303,3157.894736842105,apartment,Barrio Norte,76.0,76.0,3.0,1
304,5387.523629489603,apartment,Palermo Chico,529.0,431.0,7.0,0
305,2837.837837837838,apartment,Recoleta,148.0,134.0,4.0,0
306,2797.752808988764,apartment,Barrio Norte,89.0,82.0,4.0,0
307,2941.1764705882347,apartment,Retiro,85.0,68.0,3.0,0
308,5307.692307692308,apartment,Recoleta,260.0,260.0,6.0,0
309,3233.333333333333,apartment,Barrio Norte,60.0,60.0,4.0,0
310,3139.534883720931,apartment,Barrio Norte,43.0,39.0,1.0,0
311,4140.969162995595,apartment,Recoleta,227.0,227.0,7.0,0
312,2375.0,apartment,Caballito,40.0,29.0,1.0,0
313,2020.408163265306,apartment,Villa del Parque,49.0,45.0,1.0,0
316,1515.1515151515152,apartment,Balvanera,66.0,62.0,3.0,0
317,2378.6407766990287,apartment,Caballito,103.0,95.0,4.0,0
318,2538.4615384615386,apartment,Barracas,130.0,130.0,3.0,0
319,1922.0526315789475,apartment,Almagro,38.0,34.0,1.0,1
320,1811.6363636363642,apartment,Almagro,44.0,38.0,1.0,0
323,1850.0,apartment,Balvanera,80.0,89.0,4.0,0
330,2320.0,apartment,Almagro,35.0,32.0,1.0,1
331,1850.0,apartment,Balvanera,80.0,80.0,4.0,0
339,4190.909090909091,apartment,Las Cañitas,33.0,30.0,1.0,0
343,1600.0,apartment,San Cristobal,50.0,50.0,2.0,0
344,2857.142857142857,apartment,Barrio Norte,42.0,42.0,2.0,0
364,4190.476190476191,apartment,Recoleta,42.0,37.0,1.0,0
365,3439.393939393939,apartment,Recoleta,66.0,32.0,1.0,0
366,1831.4606741573034,apartment,Recoleta,89.0,30.0,1.0,0
367,4237.28813559322,apartment,Recoleta,295.0,295.0,5.0,0
368,2925.8064516129034,apartment,Coghlan,62.0,47.0,2.0,1
369,2600.0,apartment,Coghlan,38.0,34.0,1.0,1
370,2333.333333333333,apartment,Balvanera,45.0,40.0,2.0,0
371,2368.421052631579,apartment,Palermo Soho,38.0,38.0,1.0,1
372,2754.716981132075,apartment,Balvanera,53.0,53.0,3.0,0
373,2617.6470588235293,apartment,Centro / Microcentro,34.0,26.0,1.0,1
375,1313.4328358208954,apartment,Liniers,67.0,60.0,3.0,0
376,1844.4444444444448,apartment,Floresta,45.0,45.0,2.0,0
377,1844.4444444444448,apartment,Floresta,45.0,45.0,2.0,0
378,2215.625,apartment,Caballito,32.0,30.0,1.0,0
564,3057.142857142857,apartment,Recoleta,35.0,35.0,2.0,0
566,1810.6060606060605,apartment,Belgrano,132.0,122.0,3.0,0
568,3611.111111111111,apartment,Palermo,36.0,32.0,1.0,0
569,5759.162303664922,apartment,Puerto Madero,191.0,191.0,1.0,0
570,4341.463414634146,apartment,Recoleta,41.0,37.0,1.0,0
571,4208.333333333333,apartment,Recoleta,120.0,110.0,3.0,1
572,2554.3478260869565,apartment,Recoleta,92.0,90.0,3.0,0
573,3913.0434782608704,apartment,Palermo,92.0,87.0,4.0,0
574,2911.3924050632922,apartment,Recoleta,237.0,237.0,4.0,0
575,1180.5555555555557,apartment,San Cristobal,72.0,31.0,2.0,0
576,5921.0526315789475,apartment,Puerto Madero,38.0,38.0,1.0,0
578,828.5714285714287,apartment,Balvanera,175.0,153.0,4.0,0
579,2567.5675675675675,apartment,Palermo Hollywood,37.0,33.0,1.0,0
582,1294.1176470588236,apartment,Flores,85.0,72.0,3.0,0
583,2500.0,apartment,Palermo Soho,38.0,38.0,1.0,1
648,2071.428571428572,apartment,Centro / Microcentro,35.0,35.0,1.0,0
650,2408.333333333333,apartment,Villa Crespo,60.0,54.0,2.0,0
651,1886.5546218487395,apartment,Caballito,119.0,94.0,4.0,1
652,2408.333333333333,apartment,Almagro,60.0,54.0,2.0,0
653,2108.108108108108,apartment,Balvanera,37.0,37.0,1.0,0
654,1687.5,apartment,Caballito,160.0,145.0,5.0,0
658,1525.4237288135596,apartment,Flores,59.0,59.0,3.0,0
659,3776.315789473684,apartment,Recoleta,38.0,38.0,1.0,1
660,4888.88888888889,apartment,Puerto Madero,90.0,86.0,3.0,0
661,4666.666666666667,apartment,Palermo,300.0,270.0,4.0,0
662,7172.774869109948,apartment,Puerto Madero,191.0,185.0,3.0,0
663,2640.449438202247,apartment,Recoleta,89.0,81.0,4.0,0
665,1976.470588235294,apartment,Caballito,85.0,85.0,3.0,0
666,2306.133333333333,apartment,Almagro,75.0,65.0,1.0,1
667,2054.285714285714,apartment,Tribunales,35.0,32.0,1.0,0
689,5609.756097560977,apartment,Puerto Madero,82.0,72.0,2.0,0
690,1428.5714285714291,apartment,Once,70.0,70.0,3.0,0
691,2553.191489361701,apartment,Palermo,188.0,143.0,5.0,1
692,2553.191489361701,apartment,Palermo Hollywood,188.0,143.0,5.0,1
693,2553.191489361701,apartment,Colegiales,188.0,143.0,5.0,1
694,1776.3157894736844,apartment,Barrio Norte,76.0,71.0,2.0,0
695,924.6575342465753,apartment,Barracas,146.0,146.0,7.0,0
697,2500.0,apartment,Barracas,40.0,40.0,2.0,0
698,2416.6666666666665,apartment,Barracas,120.0,120.0,4.0,0
700,1666.666666666667,apartment,Barracas,240.0,240.0,4.0,0
704,2906.9767441860467,apartment,Barracas,43.0,43.0,2.0,0
708,1985.7142857142856,apartment,Saavedra,70.0,70.0,3.0,0
709,1954.0229885057474,apartment,Barracas,87.0,83.0,2.0,0
710,1827.956989247312,apartment,Barracas,93.0,77.0,3.0,1
711,2410.714285714286,apartment,Barracas,112.0,91.0,4.0,1
716,1500.0,apartment,Barracas,80.0,46.0,2.0,0
717,1500.0,apartment,Barracas,80.0,36.0,2.0,0
718,1396.3963963963965,apartment,Barracas,111.0,81.0,3.0,0
719,1529.411764705883,apartment,Barracas,85.0,45.0,2.0,0
720,1428.5714285714291,apartment,Barracas,91.0,45.0,2.0,0
722,1718.75,apartment,Barracas,160.0,160.0,4.0,0
723,1827.956989247312,apartment,Barracas,93.0,77.0,3.0,1
724,1935.483870967742,apartment,Barracas,93.0,77.0,3.0,1
725,2394.3661971830984,apartment,Barracas,142.0,142.0,4.0,0
732,2619.0476190476197,apartment,Barracas,42.0,40.0,2.0,0
733,1785.7142857142858,apartment,Barracas,70.0,70.0,3.0,0
734,2058.8235294117653,apartment,Barracas,34.0,34.0,1.0,0
735,1393.939393939394,apartment,Barracas,66.0,56.0,3.0,0
736,2000.0,apartment,Barracas,35.0,31.0,1.0,0
737,2500.0,apartment,Barracas,72.0,67.0,3.0,0
738,2389.3805309734507,apartment,Barracas,113.0,113.0,4.0,1
739,1759.2592592592596,apartment,Barracas,54.0,54.0,2.0,0
740,1727.2727272727273,apartment,Barracas,55.0,55.0,2.0,0
743,2071.428571428572,apartment,Constitución,42.0,42.0,2.0,0
744,1333.3333333333333,apartment,Barracas,135.0,92.0,3.0,0
747,1730.7692307692307,apartment,San Nicolás,78.0,78.0,3.0,0
748,1730.7692307692307,apartment,Balvanera,78.0,78.0,3.0,0
749,1730.7692307692307,apartment,Monserrat,78.0,78.0,3.0,0
750,2330.555555555556,apartment,Villa Pueyrredón,36.0,34.0,1.0,0
751,2750.0,apartment,Villa Urquiza,38.0,31.0,1.0,0
752,3090.909090909091,apartment,Villa Urquiza,165.0,155.0,4.0,0
753,2986.4864864864867,apartment,Villa Urquiza,74.0,67.0,3.0,0
755,2085.714285714286,apartment,Tribunales,35.0,35.0,3.0,0
756,1223.6842105263158,apartment,Once,76.0,73.0,3.0,0
757,2338.72,apartment,Almagro,75.0,65.0,1.0,1
767,2240.0,apartment,Caballito,50.0,48.0,2.0,1
770,2101.123595505618,apartment,Almagro,89.0,78.0,4.0,0
781,1675.0,apartment,Mataderos,40.0,28.0,1.0,1
782,2718.0,apartment,Las Cañitas,50.0,50.0,3.0,0
783,2595.833333333333,apartment,Parque Chacabuco,72.0,65.0,3.0,0
784,2722.7272727272725,apartment,Congreso,22.0,22.0,1.0,0
785,2315.7894736842104,apartment,San Telmo,38.0,34.0,1.0,0
786,2028.850574712644,apartment,Barracas,87.0,46.0,4.0,0
787,1595.7446808510638,apartment,Flores,94.0,64.0,3.0,0
791,2493.333333333333,apartment,Las Cañitas,75.0,75.0,3.0,0
792,5241.935483870968,apartment,Puerto Madero,124.0,124.0,4.0,1
796,4818.181818181818,apartment,Palermo Chico,55.0,51.0,2.0,0
797,2029.411764705883,apartment,Floresta,34.0,31.0,1.0,0
798,2755.555555555556,apartment,Villa Crespo,45.0,45.0,3.0,0
799,3148.1481481481487,apartment,San Telmo,54.0,50.0,1.0,0
800,3095.238095238096,apartment,Belgrano,42.0,40.0,1.0,0
801,2300.333333333333,apartment,Barracas,60.0,50.0,2.0,1
802,2909.090909090909,apartment,Belgrano,33.0,31.0,1.0,0
803,2796.610169491525,apartment,Barrio Norte,118.0,114.0,5.0,0
804,2392.857142857143,apartment,Barrio Norte,28.0,23.0,2.0,0
805,3925.925925925926,apartment,Recoleta,135.0,125.0,3.0,0
806,3617.0212765957453,apartment,Belgrano,47.0,47.0,2.0,0
826,2971.4285714285716,apartment,Belgrano,175.0,149.0,5.0,0
827,2830.1886792452833,apartment,Colegiales,53.0,50.0,2.0,0
829,2575.757575757576,apartment,Colegiales,33.0,33.0,2.0,0
831,1666.666666666667,apartment,Boca,42.0,39.0,1.0,0
833,1863.6363636363642,apartment,Barrio Norte,110.0,110.0,3.0,0
834,3636.363636363637,apartment,Barrio Norte,44.0,41.0,2.0,0
838,1000.0,apartment,Abasto,160.0,63.0,4.0,0
844,1708.860759493671,apartment,Abasto,79.0,76.0,3.0,0
848,2039.4736842105265,apartment,Almagro,76.0,73.0,3.0,0
850,2410.344827586207,apartment,Barrio Norte,29.0,29.0,1.0,0
851,4363.636363636364,apartment,Recoleta,110.0,110.0,3.0,0
852,2270.5882352941176,apartment,Liniers,85.0,85.0,4.0,0
854,2986.301369863014,apartment,Palermo Soho,73.0,65.0,2.0,1
855,2268.041237113402,apartment,Barrio Norte,97.0,87.0,4.0,0
856,4012.0,apartment,Palermo Soho,50.0,41.0,2.0,0
857,4323.2558139534885,apartment,Palermo Soho,43.0,38.0,2.0,0
858,4307.692307692308,apartment,Recoleta,130.0,120.0,4.0,0
859,2000.0,apartment,Flores,55.0,50.0,2.0,0
860,3140.70351758794,apartment,Nuñez,199.0,188.0,5.0,0
861,2000.0,apartment,Barrio Norte,36.0,30.0,1.0,0
862,1833.333333333333,apartment,Almagro,60.0,58.0,3.0,0
863,1904.7619047619046,apartment,Almagro,42.0,40.0,2.0,0
864,1972.972972972973,apartment,Tribunales,37.0,37.0,2.0,0
865,2600.0,apartment,Villa Urquiza,75.0,75.0,3.0,0
866,1434.4262295081967,apartment,Caballito,244.0,97.0,4.0,1
867,1682.2429906542056,apartment,Congreso,107.0,104.0,4.0,0
868,1465.3465346534656,apartment,Monserrat,101.0,84.0,3.0,0
869,2533.333333333333,apartment,Flores,75.0,70.0,3.0,1
876,2142.8571428571427,apartment,Abasto,28.0,28.0,1.0,0
878,2800.0,apartment,Palermo,52.0,49.0,1.0,0
879,4000.0,apartment,Palermo,400.0,400.0,4.0,0
880,3090.909090909091,apartment,Barrio Norte,220.0,220.0,5.0,0
882,2109.375,apartment,San Nicolás,64.0,62.0,3.0,0
884,3095.238095238096,apartment,Villa Crespo,42.0,42.0,2.0,1
890,1666.666666666667,apartment,Centro / Microcentro,78.0,72.0,3.0,0
891,2627.450980392157,apartment,Saavedra,51.0,51.0,2.0,0
892,2333.333333333333,apartment,Flores,30.0,30.0,2.0,0
893,2119.0476190476197,apartment,Villa Crespo,42.0,42.0,2.0,0
896,2770.833333333333,apartment,Flores,144.0,135.0,5.0,1
897,3040.540540540541,apartment,Palermo Hollywood,74.0,64.0,2.0,1
899,6279.069767441862,apartment,Puerto Madero,215.0,215.0,1.0,0
900,6976.744186046512,apartment,Puerto Madero,215.0,215.0,1.0,0
901,6279.069767441862,apartment,Puerto Madero,215.0,215.0,1.0,0
902,5283.018867924528,apartment,Puerto Madero,159.0,159.0,1.0,0
903,6117.021276595745,apartment,Puerto Madero,188.0,188.0,1.0,0
904,2052.6315789473683,apartment,Balvanera,38.0,38.0,2.0,0
905,2052.6315789473683,apartment,Once,38.0,38.0,2.0,0
908,2096.7741935483873,apartment,Flores,62.0,60.0,3.0,0
912,2254.5454545454545,apartment,Coghlan,55.0,50.0,2.0,0
915,2307.692307692308,apartment,Villa Crespo,52.0,47.0,2.0,1
928,2291.6666666666665,apartment,Villa Urquiza,48.0,45.0,2.0,0
929,2319.7391304347825,apartment,Villa Urquiza,46.0,38.0,1.0,0
930,2472.2727272727275,apartment,Villa Urquiza,44.0,40.0,2.0,0
931,2519.3636363636365,apartment,Villa Urquiza,44.0,40.0,1.0,0
932,2552.097560975609,apartment,Villa Urquiza,41.0,38.0,1.0,0
933,2566.454545454545,apartment,Villa Urquiza,44.0,40.0,1.0,0
934,2577.365853658537,apartment,Villa Urquiza,41.0,38.0,1.0,0
935,2578.2272727272725,apartment,Villa Urquiza,44.0,40.0,1.0,0
936,2674.418604651163,apartment,Villa Urquiza,43.0,38.0,1.0,0
937,2590.0,apartment,Villa Urquiza,44.0,40.0,1.0,0
938,2682.926829268293,apartment,Villa Urquiza,41.0,38.0,1.0,0
939,2579.843137254902,apartment,Villa Urquiza,51.0,42.0,2.0,0
940,2500.0,apartment,Villa Urquiza,51.0,42.0,2.0,0
941,2600.156862745098,apartment,Villa Urquiza,51.0,42.0,2.0,0
942,2703.7073170731705,apartment,Villa Urquiza,41.0,38.0,1.0,0
943,3021.666666666666,apartment,Villa Urquiza,48.0,41.0,2.0,0
946,2340.0,apartment,Palermo,35.0,30.0,1.0,0
948,3636.363636363637,apartment,Recoleta,187.0,168.0,6.0,0
949,1846.1538461538464,apartment,Once,39.0,39.0,2.0,0
950,1833.333333333333,apartment,Once,60.0,58.0,3.0,0
951,2451.923076923077,apartment,Villa Crespo,52.0,46.0,2.0,1
952,2800.0,apartment,Belgrano,35.0,32.0,1.0,0
953,8000.0,apartment,Puerto Madero,350.0,350.0,4.0,0
954,2852.760736196319,apartment,Recoleta,163.0,163.0,4.0,0
955,2648.648648648649,apartment,Belgrano,37.0,32.0,1.0,0
956,3500.0,apartment,Belgrano,34.0,34.0,1.0,0
957,5238.095238095239,apartment,Puerto Madero,105.0,105.0,3.0,0
958,2861.1111111111113,apartment,Caballito,72.0,65.0,3.0,0
959,5571.428571428572,apartment,Puerto Madero,35.0,35.0,1.0,0
961,5110.732538330494,apartment,Palermo Chico,587.0,587.0,5.0,1
962,3490.1960784313733,apartment,Palermo Soho,51.0,51.0,2.0,0
963,3388.888888888889,apartment,Palermo Soho,36.0,32.0,1.0,0
964,3654.8223350253807,apartment,Palermo,197.0,197.0,5.0,0
965,3325.5813953488373,apartment,Palermo Soho,43.0,35.0,1.0,1
966,2462.5,apartment,Barrio Norte,40.0,32.0,1.0,0
967,4375.0,apartment,Recoleta,112.0,92.0,3.0,0
968,2665.7894736842104,apartment,Palermo Hollywood,38.0,35.0,1.0,0
969,2327.2727272727275,apartment,Palermo Hollywood,44.0,40.0,1.0,0
970,2507.894736842105,apartment,Palermo Hollywood,38.0,35.0,1.0,0
971,2439.5348837209303,apartment,Palermo Hollywood,43.0,40.0,1.0,0
972,1995.7446808510642,apartment,Palermo Hollywood,47.0,35.0,1.0,0
976,2461.538461538461,apartment,Villa Urquiza,65.0,62.0,4.0,0
995,1966.666666666667,apartment,Monserrat,60.0,53.0,2.0,0
996,2857.142857142857,apartment,Almagro,35.0,29.0,1.0,0
997,2263.157894736842,apartment,Villa Devoto,57.0,37.0,2.0,0
998,2500.0,apartment,Villa Crespo,35.0,30.0,1.0,0
1002,1675.1307894736844,apartment,Flores,38.0,38.0,1.0,0
1003,3595.890410958904,apartment,Palermo,146.0,137.0,4.0,0
1004,4252.873563218391,apartment,Recoleta,174.0,170.0,6.0,0
1005,1814.8148148148148,apartment,Almagro,81.0,70.0,3.0,0
1006,1813.9534883720928,apartment,Paternal,43.0,37.0,1.0,0
1007,2826.086956521739,apartment,Barrio Norte,23.0,23.0,1.0,0
1008,2653.061224489796,apartment,Recoleta,196.0,155.0,5.0,0
1009,3277.310924369748,apartment,Belgrano,119.0,110.0,4.0,0
1011,2758.4615384615386,apartment,Palermo Hollywood,39.0,27.0,1.0,0
1012,2729.222222222222,apartment,Palermo Hollywood,45.0,33.0,1.0,0
1013,2734.3863636363635,apartment,Palermo Hollywood,44.0,40.0,1.0,0
1014,2727.435897435897,apartment,Palermo Hollywood,39.0,35.0,1.0,0
1015,6589.459459459459,apartment,Puerto Madero,185.0,141.0,4.0,0
1016,6617.837837837838,apartment,Puerto Madero,185.0,141.0,4.0,0
1017,6674.594594594595,apartment,Puerto Madero,185.0,141.0,4.0,0
1018,6636.166007905138,apartment,Puerto Madero,253.0,188.0,4.0,0
1019,6748.269230769231,apartment,Puerto Madero,260.0,188.0,4.0,0
1021,6723.809523809524,apartment,Puerto Madero,189.0,189.0,4.0,1
1031,2966.747747747748,apartment,Almagro,111.0,103.0,4.0,0
1032,2829.6470588235293,apartment,Almagro,34.0,28.0,1.0,0
1039,2254.5454545454545,apartment,Coghlan,55.0,50.0,2.0,0
